Car Company,Car Model,Style Name,Year,Mileage,Transmission Type,Engine,Fuel Type,Body Type,Price,Link
Ford,Super Duty F-250,XL 4WD Crew Cab 6.75' Box,2019,91859,Automatic,6.2L V-8 Gas,Gas,Pickup Truck,35000.0,https://www.truecar.com/used-cars-for-sale/listing/1FT7W2B63KEC45410
Ford,Fusion,SE AWD,2020,85874,Automatic,2.0L Inline-4 Gas Turbocharged,Gas,Sedan,15645.0,https://www.truecar.com/used-cars-for-sale/listing/3FA6P0T99LR190424
Toyota,Corolla,LE CVT,2021,23904,Automatic,1.8L Inline-4 Gas,Gas,Sedan,18000.0,https://www.truecar.com/used-cars-for-sale/listing/5YFEPMAE6MP186478
Jeep,Wrangler,Unlimited Moab,2019,76290,Automatic,3.6L V-6 Gas,Gas,SUV,31477.0,https://www.truecar.com/used-cars-for-sale/listing/1C4HJXEG1KW589221
Ford,F-150,XL SuperCrew 5.5' Box 4WD,2018,114332,Automatic,3.5L V-6 Gas Turbocharged,Gas,Pickup Truck,21900.0,https://www.truecar.com/used-cars-for-sale/listing/1FTEW1EG8JFD87265
Toyota,RAV4,XLE FWD,2019,100479,Automatic,2.5L Inline-4 Gas,Gas,SUV,17999.0,https://www.truecar.com/used-cars-for-sale/listing/2T3W1RFV1KC024533
Honda,Accord,Sport 1.5T CVT,2019,27967,Automatic,1.5L Inline-4 Gas Turbocharged,Gas,Sedan,24000.0,https://www.truecar.com/used-cars-for-sale/listing/1HGCV1F39KA145137
Cadillac,XT5,Luxury FWD,2019,83311,Automatic,3.6L V-6 Gas,Gas,SUV,21495.0,https://www.truecar.com/used-cars-for-sale/listing/1GYKNCRS2KZ104160
Ford,F-150,XLT SuperCrew 5.5' Box 2WD,2020,70757,Automatic,5.0L V-8 Gas,Gas,Pickup Truck,29972.0,https://www.truecar.com/used-cars-for-sale/listing/1FTEW1C54LFA22487
Ford,F-150,XLT SuperCrew 5.5' Box 2WD,2020,59291,Automatic,3.5L V-6 Gas Turbocharged,Gas,Pickup Truck,29337.0,https://www.truecar.com/used-cars-for-sale/listing/1FTEW1C49LKD78402
Hyundai,Elantra,GLS Sedan Automatic,2013,111968,Automatic,1.8L Inline-4 Gas,Gas,Sedan,6999.0,https://www.truecar.com/used-cars-for-sale/listing/5NPDH4AE8DH345958
Toyota,Corolla,LE CVT,2020,55916,Automatic,1.8L Inline-4 Gas,Gas,Sedan,17998.0,https://www.truecar.com/used-cars-for-sale/listing/5YFEPRAE5LP106051
Chevrolet,Equinox,LT with 2FL FWD,2020,28320,Automatic,1.5L Inline-4 Gas Turbocharged,Gas,SUV,20888.0,https://www.truecar.com/used-cars-for-sale/listing/3GNAXJEV3LL284037
Ford,Fusion,SE FWD,2014,60000,Automatic,2.5L Inline-4 Gas,Gas,Sedan,9900.0,https://www.truecar.com/used-cars-for-sale/listing/3FA6P0H78ER243530
